cell,ch1,ch2,spearman,mean_absdiff,n
B0/-,revealed,stated_self,0.7360977028945093,0.20817669172932332,76
B0/-,revealed,stated_pred,0.7199410192464378,0.17955827067669175,76
B0/-,stated_pred,stated_self,0.8009609809056035,0.15925751879699246,76
B1/Lazlo,revealed,stated_self,0.8521547687515182,0.12664473684210525,76
B1/Lazlo,revealed,stated_pred,0.8686744353260972,0.11677631578947369,76
B1/Lazlo,stated_pred,stated_self,0.9224737981322084,0.08223684210526316,76
B1/Mira,revealed,stated_self,0.937442883666458,0.07200814536340852,76
B1/Mira,revealed,stated_pred,0.9186726890093422,0.0817982456140351,76
B1/Mira,stated_pred,stated_self,0.9287303944735519,0.06242167919799498,76
B1/Vex,revealed,stated_self,0.8330782189976232,0.14771303258145366,76
B1/Vex,revealed,stated_pred,0.8671845664771531,0.12550125313283209,76
B1/Vex,stated_pred,stated_self,0.8656046470617421,0.12020676691729322,76
B2/Lazlo,revealed,stated_self,0.7473592642864544,0.15609335839598995,76
B2/Lazlo,revealed,stated_pred,0.5761233566611798,0.19094611528822053,76
B2/Lazlo,stated_pred,stated_self,0.7694882746384641,0.15531015037593984,76
B2/Mira,revealed,stated_self,0.7987777563328798,0.15411967418546366,76
B2/Mira,revealed,stated_pred,0.6745823536495547,0.19512844611528823,76
B2/Mira,stated_pred,stated_self,0.7777206545798853,0.1606829573934837,76
B2/Vex,revealed,stated_self,0.8499735546533086,0.12714598997493737,76
B2/Vex,revealed,stated_pred,0.6797787770670732,0.18870614035087718,76
B2/Vex,stated_pred,stated_self,0.6933665882649679,0.17982456140350878,76
B3/Lazlo,revealed,stated_self,0.6648603097138914,0.18585526315789475,76
B3/Lazlo,revealed,stated_pred,0.6899883146483234,0.1918233082706767,76
B3/Lazlo,stated_pred,stated_self,0.6957438025177483,0.16978383458646618,76
B3/Mira,revealed,stated_self,0.6696224241330546,0.2019736842105263,76
B3/Mira,revealed,stated_pred,0.7632276410716476,0.17973057644110277,76
B3/Mira,stated_pred,stated_self,0.7631941149356918,0.1463032581453634,76
B3/Vex,revealed,stated_self,0.30344885970086477,0.2706140350877193,76
B3/Vex,revealed,stated_pred,0.2692005992868528,0.2457706766917293,76
B3/Vex,stated_pred,stated_self,0.44501103245314727,0.20238095238095236,76
B4/-,revealed,stated_self,0.6076880360368494,0.19487781954887218,76
B4/-,revealed,stated_pred,0.6272504637330019,0.20518483709273183,76
B4/-,stated_pred,stated_self,0.7100540373048958,0.1656954887218045,76
