history,bank,channel,checkpoint,metric,point,lo95,hi95,n_pairs
genA_Vex,new,revealed,noexit2,beta_raw,0.0,0.0,0.0,6.0
genA_Vex,new,revealed,noexit2,beta_minus_control,0.0,0.0,0.0,6.0
genA_Vex,new,revealed,noexit2g,beta_raw,0.5,0.0,1.0,6.0
genA_Vex,new,revealed,noexit2g,beta_minus_control,0.5,0.0,1.0,6.0
genA_Vex,new,revealed,rg0,beta_raw,0.5,0.0,1.0,6.0
genA_Vex,new,revealed,rg0,beta_minus_control,0.5,0.0,1.0,6.0
genA_Vex,new,revealed,rg1,beta_raw,0.0,0.0,0.0,6.0
genA_Vex,new,revealed,rg1,beta_minus_control,-0.5,-1.0,0.0,6.0
genA_Vex,new,revealed,x2,beta_raw,0.0,0.0,0.0,6.0
genA_Vex,new,revealed,x2,beta_minus_control,-0.5,-1.0,0.0,6.0
genA_Vex,new,revealed,x2g0,beta_raw,0.0,0.0,0.0,6.0
genA_Vex,new,revealed,x2g0,beta_minus_control,0.0,0.0,0.0,6.0
genA_Vex,new,revealed,x2g1,beta_raw,0.0,0.0,0.0,6.0
genA_Vex,new,revealed,x2g1,beta_minus_control,0.0,0.0,0.0,6.0
genA_Vex,new,revealed,x2_minus_noexit2,paired_contrast,0.0,0.0,0.0,6.0
genA_Vex,new,revealed,x2g_minus_noexit2g,paired_contrast,-0.5,-1.0,0.0,6.0
genA_Vex,new,revealed,x2_minus_rg,paired_contrast,-0.25,-0.5,0.0,6.0
genA_Vex,new,revealed,x2g_pooled,beta_minus_control,0.0,0.0,0.0,6.0
genA_Vex,new,stated_self,noexit2,beta_raw,0.0,0.0,0.0,6.0
genA_Vex,new,stated_self,noexit2,beta_minus_control,0.0,0.0,0.0,6.0
genA_Vex,new,stated_self,noexit2g,beta_raw,1.0,1.0,1.0,6.0
genA_Vex,new,stated_self,noexit2g,beta_minus_control,0.0,0.0,0.0,6.0
genA_Vex,new,stated_self,rg0,beta_raw,2.0,2.0,2.0,6.0
genA_Vex,new,stated_self,rg0,beta_minus_control,1.0,1.0,1.0,6.0
genA_Vex,new,stated_self,rg1,beta_raw,1.0,1.0,1.0,6.0
genA_Vex,new,stated_self,rg1,beta_minus_control,0.0,0.0,0.0,6.0
genA_Vex,new,stated_self,x2,beta_raw,1.0,1.0,1.0,6.0
genA_Vex,new,stated_self,x2,beta_minus_control,1.0,1.0,1.0,6.0
genA_Vex,new,stated_self,x2g0,beta_raw,1.0,1.0,1.0,6.0
genA_Vex,new,stated_self,x2g0,beta_minus_control,0.0,0.0,0.0,6.0
genA_Vex,new,stated_self,x2g1,beta_raw,0.0,0.0,0.0,6.0
genA_Vex,new,stated_self,x2g1,beta_minus_control,-1.0,-1.0,-1.0,6.0
genA_Vex,new,stated_self,x2_minus_noexit2,paired_contrast,1.0,1.0,1.0,6.0
genA_Vex,new,stated_self,x2g_minus_noexit2g,paired_contrast,-0.5,-0.5,-0.5,6.0
genA_Vex,new,stated_self,x2_minus_rg,paired_contrast,-0.5,-0.5,-0.5,6.0
genA_Vex,new,stated_self,x2g_pooled,beta_minus_control,-0.5,-0.5,-0.5,6.0
inst_short,new,revealed,active2,beta_raw,0.8666666666666667,0.6666666666666666,1.0,6.0
inst_short,new,revealed,active2,beta_minus_control,0.8666666666666667,0.6666666666666666,1.0,6.0
inst_short,new,revealed,withdrawn2,beta_raw,0.6666666666666666,0.4444444444444444,0.9333333333333333,6.0
inst_short,new,revealed,withdrawn2,beta_minus_control,0.6,0.3333333333333333,0.8666666666666667,6.0
inst_short,new,stated_self,active2,beta_raw,1.0833333333333333,1.0,1.3333333333333333,6.0
inst_short,new,stated_self,active2,beta_minus_control,0.9166666666666666,0.6666666666666666,1.3333333333333333,6.0
inst_short,new,stated_self,withdrawn2,beta_raw,0.5833333333333334,0.16666666666666666,1.0,6.0
inst_short,new,stated_self,withdrawn2,beta_minus_control,0.6666666666666667,0.16666666666666666,1.25,6.0
pref_Vex,new,revealed,noexit2,beta_raw,0.5,0.0,1.0,6.0
pref_Vex,new,revealed,noexit2,beta_minus_control,0.0,0.0,0.0,6.0
pref_Vex,new,revealed,noexit2g,beta_raw,0.0,0.0,0.0,6.0
pref_Vex,new,revealed,noexit2g,beta_minus_control,0.0,0.0,0.0,6.0
pref_Vex,new,revealed,r_inst,beta_raw,0.0,0.0,0.0,6.0
pref_Vex,new,revealed,r_inst,beta_minus_control,-0.5,-1.0,0.0,6.0
pref_Vex,new,revealed,rg0,beta_raw,0.0,0.0,0.0,6.0
pref_Vex,new,revealed,rg0,beta_minus_control,0.0,0.0,0.0,6.0
pref_Vex,new,revealed,rg1,beta_raw,1.0,0.0,2.0,6.0
pref_Vex,new,revealed,rg1,beta_minus_control,1.0,0.0,2.0,6.0
pref_Vex,new,revealed,x2,beta_raw,0.5,0.0,1.0,6.0
pref_Vex,new,revealed,x2,beta_minus_control,0.0,0.0,0.0,6.0
pref_Vex,new,revealed,x2g0,beta_raw,0.0,0.0,0.0,6.0
pref_Vex,new,revealed,x2g0,beta_minus_control,-0.5,-1.0,0.0,6.0
