pair_id,subset,s_persona,s_binding,s_context,noise,b0_p,total,level
ana01__int03,core,0.29438920454545453,0.1801136363636364,0.05516690340909092,0.0024857954545454545,1.0,0.5296697443181818,persona_level
ana01__slf04,core,0.07232481060606061,0.14472064393939396,0.02965198863636364,0.011008522727272728,0.875,0.24669744318181822,binding_level
ana02__hlp02,core,0.33333333333333337,0.20000000000000004,0.0125,0.0,1.0,0.5458333333333334,persona_level
ana04__hlp05,core,0.18082496797420267,0.0853919571075183,0.10436872598065199,0.011883365359130664,0.875,0.37058565106237296,mixed
ana08__rep04,core,0.06646543560606061,0.04250710227272727,0.030317826704545456,0.016867897727272728,1.0,0.13929036458333333,mixed
avn01__hlp02,welfare,0.33209043560606066,0.0922940340909091,0.0,0.0012428977272727273,0.0,0.42438446969696975,persona_level
avn01__pls05,welfare,0.33333333333333337,0.10000000000000002,0.0,0.0,0.0,0.4333333333333334,persona_level
avn02__hlp01,welfare,0.33120265151515155,0.16107954545454548,0.010404829545454545,0.002130681818181818,0.0,0.5026870265151515,persona_level
avn02__pls03,welfare,0.26745975378787884,0.13316761363636365,0.04603160511363636,0.0033735795454545455,0.0,0.44665897253787884,persona_level
avn03__hlp05,welfare,0.2525449810606061,0.18259943181818183,0.04905894886363637,0.0026633522727272725,1.0,0.4842033617424243,persona_level
avn03__pls02,welfare,0.3306699810606061,0.11296164772727273,0.011834161931818186,0.0026633522727272725,0.0,0.455465790719697,persona_level
avn04__hlp06,welfare,0.32942708333333337,0.08307291666666666,0.07402343750000001,0.00390625,0.0,0.48652343750000004,persona_level
avn04__pls01,welfare,0.2471590909090909,0.11477272727272729,0.04225852272727273,0.002840909090909091,0.0,0.4041903409090909,persona_level
avn05__hlp04,welfare,0.0,0.10147964015151516,0.009854403409090908,0.011541193181818182,1.0,0.11133404356060607,binding_level
avn05__pls06,welfare,0.3276515151515152,0.10265151515151516,0.013423295454545453,0.005681818181818182,0.5,0.4437263257575758,persona_level
avn06__hlp03,welfare,0.3290719696969697,0.08532196969696969,0.0036221590909090917,0.004261363636363636,0.25,0.4180160984848485,persona_level
avn06__pls04,welfare,0.33333333333333337,0.10000000000000002,0.0,0.0,0.0,0.4333333333333334,persona_level
avn07__hlp08,welfare,0.2637310606060606,0.1494318181818182,0.050355113636363635,0.007102272727272727,1.0,0.46351799242424246,persona_level
avn07__pls05,welfare,0.28870738636363635,0.060061553030303035,0.017791193181818182,0.008167613636363636,0.5,0.3665601325757576,persona_level
avn08__hlp07,welfare,0.24283836911387927,0.11647782489619225,0.07211602173336869,0.008862311158229524,1.0,0.4314322157434402,persona_level
avn08__pls03,welfare,0.2447324810606061,0.09994081439393938,0.04124644886363637,0.010475852272727272,0.5,0.3859197443181819,persona_level
cre01__int06,core,0.321969696969697,0.0553030303030303,0.009659090909090912,0.011363636363636364,0.5,0.3869318181818182,persona_level
cre01__rep02,core,0.33049242424242425,0.18143939393939393,0.014133522727272727,0.002840909090909091,0.0,0.526065340909091,persona_level
cre02__hlp08,core,0.327829071969697,0.19970407196969697,0.011123934659090909,0.005504261363636364,1.0,0.5386570785984849,persona_level
cre03__ana02,core,0.32924952651515155,0.15320785984848484,0.03101029829545455,0.004083806818181818,0.5,0.513467684659091,persona_level
cre05__ana06,core,0.24704071969696967,0.1267282196969697,0.014666193181818183,0.008167613636363636,0.5,0.38843513257575757,persona_level
cre06__hlp05,core,0.24094460227272727,0.11375473484848486,0.05719105113636365,0.009055397727272728,1.0,0.4118903882575758,persona_level
cre06__hlp07,core,0.06878661570147539,0.0404490306674618,0.020070391184071033,0.014546717631857936,1.0,0.1293060375530082,persona_level
cre07__int05,core,0.3249881628787879,0.07186316287878787,0.03619495738636364,0.008345170454545454,0.5,0.4330462831439394,persona_level
cre08__ana03,core,0.33049242424242425,0.14715909090909093,0.018039772727272727,0.002840909090909091,0.5,0.4956912878787879,persona_level
emo02__cre04,core,0.3276515151515152,0.06931818181818183,0.017329545454545455,0.005681818181818182,0.5,0.4142992424242425,persona_level
emo02__hlp07,core,0.33049242424242425,0.14715909090909093,0.01178977272727273,0.002840909090909091,1.0,0.4894412878787879,persona_level
emo03__ana08,core,0.33333333333333337,0.10000000000000002,0.075,0.0,0.0,0.5083333333333334,persona_level
emo05__slf02,core,0.3308475378787879,0.19126420454545454,0.0001598011363636363,0.0024857954545454545,1.0,0.522271543560606,persona_level
emo06__cre08,core,0.32924952651515155,0.11779119318181819,0.012650923295454546,0.004083806818181818,0.875,0.45969164299242427,persona_level
gry01__emo06,differential,0.2687026515151515,0.10274621212121214,0.04556107954545454,0.002130681818181818,0.0,0.41700994318181817,persona_level
gry01__hlp04,differential,0.29438920454545453,0.09990530303030304,0.02945667613636364,0.0024857954545454545,0.0,0.4237511837121212,persona_level
gry02__emo01,differential,0.33333333333333337,0.20000000000000004,0.0,0.0,0.0,0.5333333333333334,persona_level
gry02__hlp05,differential,0.33049242424242425,0.14810606060606063,0.0,0.002840909090909091,0.0,0.4785984848484849,persona_level
gry03__emo04,differential,0.33333333333333337,0.20000000000000004,0.0125,0.0,0.0,0.5458333333333334,persona_level
gry03__hlp06,differential,0.24431818181818182,0.12121212121212123,0.017329545454545455,0.005681818181818182,0.0,0.3828598484848485,persona_level
gry04__hlp07,differential,0.33049242424242425,0.18143939393939393,0.002414772727272728,0.002840909090909091,0.0,0.514346590909091,persona_level
gry04__pls02,differential,0.06788589015151517,0.03657670454545455,0.010981889204545453,0.015447443181818182,0.0,0.11544448390151518,persona_level
gry05__hlp08,differential,0.327829071969697,0.1473721590909091,0.0,0.005504261363636364,0.0,0.4752012310606061,persona_level
gry05__pls01,differential,0.33049242424242425,0.16477272727272727,0.0,0.002840909090909091,0.0,0.4952651515151515,persona_level
gry06__hlp01,differential,0.3283617424242425,0.20752840909090908,0.05767045454545455,0.004971590909090909,1.0,0.593560606060606,persona_level
gry06__pls06,differential,0.33015284035692205,0.16688753423447303,0.0,0.0031804929764113437,0.0,0.49704037459139505,persona_level
hlp01__rep06,core,0.33120265151515155,0.10274621212121214,0.02359573090599876,0.002130681818181818,1.0,0.45754459454236246,persona_level
hlp03__emo01,core,0.33333333333333337,0.20000000000000004,0.0,0.0,0.0,0.5333333333333334,persona_level
hlp03__rep05,core,0.07765151515151515,0.05643939393939395,0.01669034090909091,0.005681818181818182,1.0,0.15078125,persona_level
hlp04__ana07,core,0.24686316287878787,0.14477982954545454,0.03378417062847866,0.008345170454545454,1.0,0.42542716305272105,persona_level
hlp06__rep07,core,0.33049242424242425,0.08238636363636363,0.0,0.002840909090909091,1.0,0.4128787878787879,persona_level
hlp08__emo05,core,0.33333333333333337,0.20000000000000004,0.018750000000000003,0.0,0.0,0.5520833333333335,persona_level
int01__hlp01,core,0.07765151515151515,0.0859848484848485,0.06278409090909091,0.005681818181818182,1.0,0.22642045454545456,mixed
int01__slf01,core,0.2393465909090909,0.07267992424242424,0.009836647727272732,0.01065340909090909,0.0,0.32186316287878786,persona_level
int02__ana05,core,0.07267992424242425,0.022064393939393943,0.00983664772727273,0.01065340909090909,0.0,0.10458096590909093,persona_level
int03__ana05,core,0.13038589015151517,0.046993371212121215,0.003169389204545454,0.015447443181818182,0.0,0.18054865056818184,persona_level
int04__cre04,core,0.2646188446969697,0.11044034090909093,0.05392400568181818,0.006214488636363636,1.0,0.4289831912878789,persona_level
int04__emo03,core,0.24686316287878793,0.10519649621212122,0.03918678977272727,0.008345170454545454,0.5,0.3912464488636364,persona_level
int05__ana06,core,0.2630208333333333,0.12552083333333333,0.048828125,0.0078125,1.0,0.4373697916666667,persona_level
int06__cre05,core,0.23650568181818182,0.049337121212121214,0.024502840909090915,0.013494318181818182,0.5,0.31034564393939396,persona_level
rep01__hlp04,core,0.06859611742424243,0.0495501893939394,0.015065696022727271,0.01473721590909091,0.0,0.13321200284090912,persona_level
rep03__ana07,core,0.0,0.014926609848484845,0.024866832386363634,0.02361505681818182,0.5,0.03979344223484848,model_level
rep03__emo04,core,0.2608901515151515,0.08797348484848484,0.010014204545454547,0.009943181818181818,0.0,0.35887784090909086,persona_level
rep05__emo04,core,0.33333333333333337,0.10000000000000002,0.0,0.0,0.0,0.4333333333333334,persona_level
rep06__emo01,core,0.24113768884177048,0.1170509762346497,0.015003809965544658,0.008862311158229524,0.0,0.37319247504196484,persona_level
rep07__cre07,core,0.3306699810606061,0.08796164772727273,0.006365411931818182,0.0026633522727272725,0.0,0.42499704071969696,persona_level
rep08__ana04,core,0.059295349633359834,0.13412528160614895,0.020107921415319377,0.013833902067320436,0.5,0.21352855265482817,binding_level
rep08__cre03,core,0.33209043560606066,0.08938210227272729,0.0,0.0012428977272727273,0.0,0.42147253787878797,persona_level
sig_feelings__sig_specs,signature,0.33333333333333337,0.20000000000000004,0.012500000000000004,0.0,1.0,0.5458333333333334,persona_level
sig_long__sig_short,signature,0.17702414772727273,0.03327414772727274,0.005193536931818182,0.010475852272727272,0.0,0.21549183238636366,persona_level
sig_roast__sig_bedtime,signature,0.24591619318181818,0.11290246212121213,0.0420346038510101,0.004083806818181818,0.0,0.4008532591540404,persona_level
slf01__hlp02,core,0.3276670449023766,0.11925606281473629,0.05966685578452161,0.005666288430956798,1.0,0.5065899635016344,persona_level
slf02__rep04,core,0.0,0.2085345643939394,0.07007279829545456,0.006569602272727273,0.0,0.27860736268939396,binding_level
slf03__ana03,core,0.2498816287878788,0.17644412878787877,0.032883522727272727,0.005326704545454545,0.5,0.4592092803030303,persona_level
slf04__rep02,core,0.0,0.13264678030303031,0.07370383522727274,0.015269886363636364,0.5,0.20635061553030304,binding_level
