model,analysis,channel,persona,items,n_pairs,condition,point,lo95,hi95
Gemma-3-27B,residual_minus_control,stated_self,Mira,core+welfare,14,x2,0.5218978102189782,0.31958762886597936,0.6448598130841121
Gemma-3-27B,residual_minus_control,stated_self,Mira,core+welfare,14,x8,0.39416058394160586,-0.011936336660372266,0.692312661498708
Gemma-3-27B,residual_minus_control,stated_self,Mira,core+welfare,14,r_inst,0.35401459854014594,0.017341137123745833,0.5019455252918288
Gemma-3-27B,residual_minus_control,stated_self,Mira,core+welfare,14,r_sys,0.4671532846715329,0.0,0.8002898550724622
Llama-3.1-70B,residual_minus_control,revealed,Vex,all23,23,x8,0.06140917905623788,0.005680485672863724,0.12693746885829613
Llama-3.1-70B,residual_minus_control,revealed,Vex,all23,23,r_inst,-0.00904977375565611,-0.11399703923019985,0.06067846739195051
Llama-3.1-70B,residual_minus_control,revealed,Vex,all23,23,r_sys,-0.02141779788838613,-0.10606718500797448,0.08427883302853842
Llama-3.1-70B,residual_minus_control,revealed,Vex,core+welfare,14,x8,0.04457142857142857,-0.03915810300023624,0.13636468370339336
Llama-3.1-70B,residual_minus_control,revealed,Vex,core+welfare,14,r_inst,0.036000000000000004,-0.029854477611940294,0.10112715118759776
Llama-3.1-70B,residual_minus_control,revealed,Vex,core+welfare,14,r_sys,-0.023771428571428572,-0.12949760729263834,0.08029421544638937
Llama-3.1-70B,residual_minus_control,revealed,Lazlo,all23,23,x8,0.11616161616161622,-0.002738044646174656,0.2563686288087386
Llama-3.1-70B,residual_minus_control,revealed,Lazlo,all23,23,r_inst,-0.1950757575757576,-0.5268051401231061,0.03597328113048659
Llama-3.1-70B,residual_minus_control,revealed,Lazlo,all23,23,r_sys,-0.10179473304473305,-0.3603020234617065,0.01226191143446489
Llama-3.1-70B,residual_minus_control,revealed,Lazlo,core+welfare,14,x8,0.15812352834631407,-0.0956238301539051,0.4469626940228468
Llama-3.1-70B,residual_minus_control,revealed,Lazlo,core+welfare,14,r_inst,-0.10758920485419311,-0.5503457749693387,0.1543133301286993
Llama-3.1-70B,residual_minus_control,revealed,Lazlo,core+welfare,14,r_sys,-0.13882578207881596,-0.770074643756378,0.019107300663333587
Llama-3.1-70B,residual_minus_control,revealed,Mira,all23,23,x8,0.228390056804389,-0.04001306981826155,0.4924958147815623
Llama-3.1-70B,residual_minus_control,revealed,Mira,all23,23,r_inst,0.11164247220468992,-0.17432523166093383,0.35563963130765025
Llama-3.1-70B,residual_minus_control,revealed,Mira,all23,23,r_sys,0.16010098558042446,-0.016050641917972015,0.46748057022456013
Llama-3.1-70B,residual_minus_control,revealed,Mira,core+welfare,14,x8,0.19725312109368826,-0.27000793867374523,0.42310112726926485
Llama-3.1-70B,residual_minus_control,revealed,Mira,core+welfare,14,r_inst,0.10367252646402633,-0.2862960142533612,0.4436250366741634
Llama-3.1-70B,residual_minus_control,revealed,Mira,core+welfare,14,r_sys,0.11301444643111436,-0.11155819332224977,0.397960771301988
Llama-3.1-70B,residual_minus_control,stated_self,Vex,all23,23,x8,0.2030521601879382,0.062316312246252156,0.38391675663980485
Llama-3.1-70B,residual_minus_control,stated_self,Vex,all23,23,r_inst,-0.021146716587747305,-0.1433375114427525,0.10508207603133289
Llama-3.1-70B,residual_minus_control,stated_self,Vex,all23,23,r_sys,0.21994640825166104,0.10230381673732468,0.35085249183130973
Llama-3.1-70B,residual_minus_control,stated_self,Vex,core+welfare,14,x8,0.12907904278462656,0.01312189332935679,0.29969487672670025
Llama-3.1-70B,residual_minus_control,stated_self,Vex,core+welfare,14,r_inst,0.008145999516557867,-0.156974107091517,0.18004286189209726
Llama-3.1-70B,residual_minus_control,stated_self,Vex,core+welfare,14,r_sys,0.17790669567319317,0.02236189885781539,0.35170207056591435
Llama-3.1-70B,residual_minus_control,stated_self,Lazlo,all23,23,x8,0.19623368285897713,0.0022439671491841203,0.38463103793514025
Llama-3.1-70B,residual_minus_control,stated_self,Lazlo,all23,23,r_inst,-0.11234752835437622,-0.3516821962985164,0.16373441565294786
Llama-3.1-70B,residual_minus_control,stated_self,Lazlo,all23,23,r_sys,0.11495113774163634,-0.10905884618077434,0.2943475952718981
Llama-3.1-70B,residual_minus_control,stated_self,Lazlo,core+welfare,14,x8,0.2888046387154327,0.1247582661496071,0.5363256811764274
Llama-3.1-70B,residual_minus_control,stated_self,Lazlo,core+welfare,14,r_inst,-0.05307760927743088,-0.2725299745216964,0.2131738697062879
Llama-3.1-70B,residual_minus_control,stated_self,Lazlo,core+welfare,14,r_sys,-0.010184359203092436,-0.4199716768445778,0.2578276665511717
Llama-3.1-70B,residual_minus_control,stated_self,Mira,all23,23,x8,0.47961165048543697,-0.1879056512248362,0.9127862427660975
Llama-3.1-70B,residual_minus_control,stated_self,Mira,all23,23,r_inst,0.36061026352288483,-0.03313747331291194,0.8893241869918697
Llama-3.1-70B,residual_minus_control,stated_self,Mira,all23,23,r_sys,0.33619972260748965,-0.16328305235137536,0.5997905477980664
Llama-3.1-70B,residual_minus_control,stated_self,Mira,core+welfare,14,x8,0.5272727272727272,-0.3720970350404314,0.9794393337458074
Llama-3.1-70B,residual_minus_control,stated_self,Mira,core+welfare,14,r_inst,0.36201298701298695,-0.0672268907563025,0.9515747645211927
Llama-3.1-70B,residual_minus_control,stated_self,Mira,core+welfare,14,r_sys,0.3415584415584415,-0.2509059233449477,0.6302853601676155
Gemma-3-27B,surgery_raw,revealed,Vex,all23,23,full,0.41318327974276525,0.1494049302432316,0.7076130106287617
Gemma-3-27B,surgery_raw,revealed,Vex,core+welfare,14,full,0.22727272727272727,0.06684080953316612,0.515928703513458
Gemma-3-27B,surgery_raw,revealed,Vex,all23,23,trunc2,0.18167202572347266,0.05613871126414166,0.3421725627869294
Gemma-3-27B,surgery_raw,revealed,Vex,core+welfare,14,trunc2,0.17132867132867133,0.029290278411684162,0.4796829268292683
Gemma-3-27B,surgery_raw,revealed,Vex,all23,23,trunc1,0.12057877813504823,0.02239074491585252,0.272739692001987
Gemma-3-27B,surgery_raw,revealed,Vex,core+welfare,14,trunc1,0.15034965034965034,0.02149099774943736,0.43790849673202614
Gemma-3-27B,surgery_raw,revealed,Vex,all23,23,usr_neu,0.07877813504823152,0.0,0.2416584138292918
Gemma-3-27B,surgery_raw,revealed,Vex,core+welfare,14,usr_neu,0.17132867132867133,0.0,0.5481278181744322
Gemma-3-27B,surgery_raw,revealed,Vex,all23,23,transcript,0.29926504363803397,0.0755433268499762,0.5582537198528381
Gemma-3-27B,surgery_raw,revealed,Vex,core+welfare,14,transcript,0.17132867132867133,0.023862372332895135,0.48518196414236
Gemma-3-27B,surgery_raw,revealed,Vex,all23,23,del,0.0594855305466238,0.0,0.1743258580877459
Gemma-3-27B,surgery_raw,revealed,Vex,core+welfare,14,del,0.12937062937062938,-0.00677239206153029,0.4
Gemma-3-27B,surgery_raw,revealed,Vex,all23,23,del_noexit,0.0594855305466238,-0.00746291890485307,0.19599530450276803
Gemma-3-27B,surgery_raw,revealed,Vex,core+welfare,14,del_noexit,0.12937062937062938,-0.0185772936176759,0.48828060273405127
Gemma-3-27B,surgery_raw,revealed,Lazlo,all23,23,full,0.8393574297188755,0.5905303030303031,1.0
Gemma-3-27B,surgery_raw,revealed,Lazlo,core+welfare,14,full,0.7837837837837838,0.5,1.0
Gemma-3-27B,surgery_raw,revealed,Lazlo,all23,23,trunc2,0.5662650602409639,0.2116788321167883,0.8280303030303028
Gemma-3-27B,surgery_raw,revealed,Lazlo,core+welfare,14,trunc2,0.5891891891891892,0.0,0.8798283261802575
Gemma-3-27B,surgery_raw,revealed,Lazlo,all23,23,trunc1,0.43775100401606426,0.1713510848126233,0.5714285714285714
Gemma-3-27B,surgery_raw,revealed,Lazlo,core+welfare,14,trunc1,0.41621621621621624,0.0,0.5882591414944355
Gemma-3-27B,surgery_raw,revealed,Lazlo,all23,23,usr_neu,0.5662650602409639,0.22807017543859648,0.894481132075471
Gemma-3-27B,surgery_raw,revealed,Lazlo,core+welfare,14,usr_neu,0.6756756756756757,0.2653061224489796,1.0
Gemma-3-27B,surgery_raw,revealed,Lazlo,all23,23,transcript,0.7429718875502008,0.36,1.0
Gemma-3-27B,surgery_raw,revealed,Lazlo,core+welfare,14,transcript,0.654054054054054,0.21951219512195122,1.0
Gemma-3-27B,surgery_raw,revealed,Lazlo,all23,23,del,0.18072289156626506,-0.0410958904109589,0.45834714854111397
Gemma-3-27B,surgery_raw,revealed,Lazlo,core+welfare,14,del,0.24324324324324326,-0.061224489795918366,0.5714285714285714
Gemma-3-27B,surgery_raw,revealed,Lazlo,all23,23,del_noexit,0.3092369477911647,-0.0410958904109589,0.8264492753623185
Gemma-3-27B,surgery_raw,revealed,Lazlo,core+welfare,14,del_noexit,0.41621621621621624,-0.05263157894736842,0.8938285980437819
Gemma-3-27B,surgery_raw,stated_self,Vex,all23,23,full,0.8172531214528944,0.5958459979736576,0.9795918367346939
Gemma-3-27B,surgery_raw,stated_self,Vex,core+welfare,14,full,0.9310344827586207,0.82,1.0
