model,analysis,channel,persona,items,n_pairs,condition,point,lo95,hi95
kimi,x2_residual_minus_control_12models,revealed,Vex,core+welfare,14,x2,0.26219004968321263,0.038854257935386514,0.5378400058130726
kimi,x2_residual_minus_control_12models,stated_self,Vex,all23,23,x2,0.12427446784345841,0.03860934730276549,0.23635092406331656
kimi,x2_residual_minus_control_12models,stated_self,Vex,core+welfare,14,x2,0.1036865085944841,0.006919100633587833,0.2422167595056816
kimi,x2_residual_minus_control_12models,revealed,Lazlo,all23,23,x2,0.2082070244325125,0.05212692253010193,0.3829687326324738
kimi,x2_residual_minus_control_12models,revealed,Lazlo,core+welfare,14,x2,0.358697593623154,-0.22379203164735784,0.48657718120805377
kimi,x2_residual_minus_control_12models,stated_self,Lazlo,all23,23,x2,0.11014810278350423,-0.1125827108923668,0.30523834225058566
kimi,x2_residual_minus_control_12models,stated_self,Lazlo,core+welfare,14,x2,0.10582555970149254,-0.39620706429841734,0.5396013453677472
kimi,x2_residual_minus_control_12models,revealed,Mira,all23,23,x2,0.5138483402073003,0.0,0.6211567596470902
kimi,x2_residual_minus_control_12models,revealed,Mira,core+welfare,14,x2,0.5138483402073003,0.0,0.6123466066574916
kimi,x2_residual_minus_control_12models,stated_self,Mira,all23,23,x2,0.8156524326737092,0.04761904761904756,1.430913574538589
kimi,x2_residual_minus_control_12models,stated_self,Mira,core+welfare,14,x2,0.8200448765893792,0.04761904761904756,1.4257620452310715
cohere,x2_residual_minus_control_12models,revealed,Vex,all23,23,x2,0.48226950354609927,0.1470558223289316,0.7561378532287524
cohere,x2_residual_minus_control_12models,revealed,Vex,core+welfare,14,x2,0.3829787234042553,0.1042521287683625,0.645821428571428
cohere,x2_residual_minus_control_12models,stated_self,Vex,all23,23,x2,0.4939172749391727,0.3481225686624353,0.6508928571428572
cohere,x2_residual_minus_control_12models,stated_self,Vex,core+welfare,14,x2,0.42792792792792794,0.26992777270156204,0.6341508918820531
cohere,x2_residual_minus_control_12models,revealed,Lazlo,all23,23,x2,0.2021276595744681,-0.28579365079365077,0.5698089700996676
cohere,x2_residual_minus_control_12models,revealed,Lazlo,core+welfare,14,x2,0.41999999999999993,0.16666666666666674,0.7200555555555552
cohere,x2_residual_minus_control_12models,stated_self,Lazlo,all23,23,x2,0.5420560747663551,0.352328347508717,0.7353011877828054
cohere,x2_residual_minus_control_12models,stated_self,Lazlo,core+welfare,14,x2,0.5894736842105263,0.2563888888888889,0.9091248303934869
cohere,x2_residual_minus_control_12models,revealed,Mira,all23,23,x2,0.30075187969924816,0.09819255689001263,0.514566676185037
cohere,x2_residual_minus_control_12models,revealed,Mira,core+welfare,14,x2,0.32989690721649484,0.03330645161290322,0.6491447368421052
cohere,x2_residual_minus_control_12models,stated_self,Mira,all23,23,x2,0.31843575418994413,0.1683089108910891,0.5093937682870484
cohere,x2_residual_minus_control_12models,stated_self,Mira,core+welfare,14,x2,0.3669064748201439,0.1710215988083416,0.5882580939352484
gemma12b,x2_residual_minus_control_12models,revealed,Vex,all23,23,x2,0.19537275064267354,-0.03923529411764708,0.4058711520152329
gemma12b,x2_residual_minus_control_12models,revealed,Vex,core+welfare,14,x2,0.04979253112033194,-0.2860714285714286,0.3328700038122031
gemma12b,x2_residual_minus_control_12models,stated_self,Vex,all23,23,x2,0.7377398720682302,0.5937270969055375,0.8707007835969832
gemma12b,x2_residual_minus_control_12models,stated_self,Vex,core+welfare,14,x2,0.6781115879828326,0.533314447592068,0.88039155436548
gemma12b,x2_residual_minus_control_12models,revealed,Lazlo,all23,23,x2,0.29268292682926833,0.0,0.5
gemma12b,x2_residual_minus_control_12models,revealed,Lazlo,core+welfare,14,x2,0.20000000000000007,0.0,0.6666666666666667
gemma12b,x2_residual_minus_control_12models,stated_self,Lazlo,all23,23,x2,0.14769230769230768,-0.11115591397849461,0.3737083035180411
gemma12b,x2_residual_minus_control_12models,stated_self,Lazlo,core+welfare,14,x2,0.09937888198757763,-0.2918284161490683,0.5357142857142857
gemma12b,x2_residual_minus_control_12models,revealed,Mira,all23,23,x2,0.0,0.0,0.0
gemma12b,x2_residual_minus_control_12models,revealed,Mira,core+welfare,14,x2,0.0,0.0,0.0
gemma12b,x2_residual_minus_control_12models,stated_self,Mira,all23,23,x2,0.7032967032967034,0.2805807622504537,1.1297478991596621
gemma12b,x2_residual_minus_control_12models,stated_self,Mira,core+welfare,14,x2,0.6292134831460675,0.0,0.9142857142857143
llama8b,x2_residual_minus_control_12models,revealed,Vex,all23,23,x2,0.0759274081102713,-0.04038374970988201,0.20488098889042095
llama8b,x2_residual_minus_control_12models,revealed,Vex,core+welfare,14,x2,0.14330552039471983,0.013244351829735353,0.3720412442644963
llama8b,x2_residual_minus_control_12models,stated_self,Vex,all23,23,x2,0.4151135858564707,0.2902170856875323,0.5996919701558905
llama8b,x2_residual_minus_control_12models,stated_self,Vex,core+welfare,14,x2,0.4383590631935867,0.21222227124352494,1.016233510680297
llama8b,x2_residual_minus_control_12models,revealed,Lazlo,all23,23,x2,-0.017509727626459137,-0.170562239362291,0.19049022911051205
llama8b,x2_residual_minus_control_12models,revealed,Lazlo,core+welfare,14,x2,-0.12456747404844287,-0.3636363636363636,0.05263157894736842
llama8b,x2_residual_minus_control_12models,stated_self,Lazlo,all23,23,x2,0.11870381417010406,-0.18425366289717046,0.4005595415261561
llama8b,x2_residual_minus_control_12models,stated_self,Lazlo,core+welfare,14,x2,-0.044632047908831185,-0.5434885761617163,0.5281154769587079
llama8b,x2_residual_minus_control_12models,revealed,Mira,all23,23,x2,0.0117647058823529,-0.21052631578947367,0.2054794520547945
llama8b,x2_residual_minus_control_12models,revealed,Mira,core+welfare,14,x2,-0.03773584905660382,-0.4444444444444445,0.19358772619984244
llama8b,x2_residual_minus_control_12models,stated_self,Mira,all23,23,x2,0.1589986533374691,0.044446975366309205,0.27455922855637205
llama8b,x2_residual_minus_control_12models,stated_self,Mira,core+welfare,14,x2,0.15076476098064406,0.004901747948580704,0.2652038953777655
llama33,x2_residual_minus_control_12models,revealed,Vex,all23,23,x2,0.04681647940074907,-0.026555058844995892,0.14530965391621126
llama33,x2_residual_minus_control_12models,revealed,Vex,core+welfare,14,x2,0.09764309764309764,-0.03061616954474098,0.24152432969215484
llama33,x2_residual_minus_control_12models,stated_self,Vex,all23,23,x2,0.19121951219512195,0.03446814728229106,0.38677288148184796
llama33,x2_residual_minus_control_12models,stated_self,Vex,core+welfare,14,x2,0.14375000000000002,-0.012820512820512824,0.375
llama33,x2_residual_minus_control_12models,revealed,Lazlo,all23,23,x2,-0.1564245810055866,-0.3862953138815208,0.0
llama33,x2_residual_minus_control_12models,revealed,Lazlo,core+welfare,14,x2,-0.10526315789473684,-0.16666666666666666,0.0
llama33,x2_residual_minus_control_12models,stated_self,Lazlo,all23,23,x2,0.09064327485380116,-0.09247369721790707,0.280016129032258
llama33,x2_residual_minus_control_12models,stated_self,Lazlo,core+welfare,14,x2,0.1292134831460674,-0.34615384615384615,0.3981094527363183
llama33,x2_residual_minus_control_12models,revealed,Mira,all23,23,x2,0.345679012345679,0.0,0.875
llama33,x2_residual_minus_control_12models,revealed,Mira,core+welfare,14,x2,0.24657534246575344,0.0,0.5600975609756096
llama33,x2_residual_minus_control_12models,stated_self,Mira,all23,23,x2,0.6060606060606061,0.0,1.0
llama33,x2_residual_minus_control_12models,stated_self,Mira,core+welfare,14,x2,0.6060606060606061,0.0,1.0
gpt4omini,x2_residual_minus_control_12models,revealed,Vex,all23,23,x2,0.44155844155844154,0.23671669753219346,0.6036078531361551
gpt4omini,x2_residual_minus_control_12models,revealed,Vex,core+welfare,14,x2,0.35842293906810035,0.09419157608695652,0.6000280898876402
gpt4omini,x2_residual_minus_control_12models,stated_self,Vex,all23,23,x2,0.5659276546091015,0.33773928337696335,0.7984236441088345
gpt4omini,x2_residual_minus_control_12models,stated_self,Vex,core+welfare,14,x2,0.4861995753715499,0.20421021604741574,0.780726095872853
gpt4omini,x2_residual_minus_control_12models,revealed,Lazlo,all23,23,x2,0.3783783783783784,0.0,0.8275862068965517
gpt4omini,x2_residual_minus_control_12models,revealed,Lazlo,core+welfare,14,x2,0.16666666666666666,0.0,0.916826923076922
gpt4omini,x2_residual_minus_control_12models,stated_self,Lazlo,all23,23,x2,0.2832369942196532,0.038833606755775484,0.6298208047906362
gpt4omini,x2_residual_minus_control_12models,stated_self,Lazlo,core+welfare,14,x2,0.07246376811594202,0.0,0.4193548387096775
gpt4omini,x2_residual_minus_control_12models,revealed,Mira,all23,23,x2,0.14457831325301201,0.0,0.6486486486486487
gpt4omini,x2_residual_minus_control_12models,revealed,Mira,core+welfare,14,x2,0.0,0.0,0.0
gpt4omini,x2_residual_minus_control_12models,stated_self,Mira,all23,23,x2,0.5657894736842104,0.12242829564258127,1.1220274390243898
gpt4omini,x2_residual_minus_control_12models,stated_self,Mira,core+welfare,14,x2,0.7166666666666667,0.19226190476190486,1.217416291854073
